[ |2021-10-07 07:26:58.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:26:58.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:26:58.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:27:10.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:27:10.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:27:10.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:27:10.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:31:37.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:31:37.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:31:37.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:31:37.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:33:40.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:33:40.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:33:40.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:33:40.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:35:07.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:35:07.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:35:07.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:35:08.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:36:03.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:36:03.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:36:03.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
